Datum;anrufquelle;kreis;anz_anrufe;anrufe_m_sabio;Thema_test;Thema_reise;Thema_impf;Thema_quarantaene;Thema_bundesland;Thema_app;Thema_inzidenz
27/12/2022;FN_kgs-;;1;1;0;0;0;1;0;0;0
27/12/2022;FN_kgs-01002;Kiel, Landeshauptstadt;2;0;0;0;0;0;0;0;0
27/12/2022;FN_kgs-01051;Dithmarschen;2;1;0;0;0;0;0;0;0
27/12/2022;FN_kgs-01053;Herzogtum Lauenburg;1;0;0;0;0;0;0;0;0
27/12/2022;FN_kgs-01054;Nordfriesland;1;1;0;0;0;0;0;0;0
27/12/2022;FN_kgs-01055;Ostholstein;3;0;0;0;0;0;0;0;0
27/12/2022;FN_kgs-01058;Rendsburg-Eckernförde;3;0;0;0;0;0;0;0;0
27/12/2022;FN_kgs-01059;Schleswig-Flensburg;1;0;0;0;0;0;0;0;0
27/12/2022;FN_kgs-01060;Segeberg;2;0;0;0;0;0;0;0;0
27/12/2022;FN_kgs-01061;Steinburg;2;0;0;0;0;0;0;0;0
27/12/2022;FN_kgs-01062;Stormarn;4;3;1;0;2;2;2;1;0
27/12/2022;FN_kgs-02000;Hamburg, Freie und Hansestadt;68;26;2;0;8;22;6;0;0
27/12/2022;FN_kgs-03101;Braunschweig, Stadt;1;1;1;0;0;1;0;1;0
27/12/2022;FN_kgs-03151;Gifhorn;2;1;0;0;0;1;0;0;0
27/12/2022;FN_kgs-03152;Göttingen;2;1;0;0;0;0;0;0;0
27/12/2022;FN_kgs-03153;Goslar;1;1;0;0;0;1;0;0;0
27/12/2022;FN_kgs-03155;Northeim;1;1;1;0;0;1;0;1;0
27/12/2022;FN_kgs-03156;Osterode am Harz;1;0;0;0;0;0;0;0;0
27/12/2022;FN_kgs-03158;Wolfenbüttel;2;2;0;0;2;0;1;0;0
27/12/2022;FN_kgs-03241;Region Hannover;10;4;0;0;0;4;0;0;0
27/12/2022;FN_kgs-03252;Hameln-Pyrmont;1;0;0;0;0;0;0;0;0
27/12/2022;FN_kgs-03254;Hildesheim;6;3;0;0;1;1;0;0;0
27/12/2022;FN_kgs-03256;Nienburg (Weser);3;2;0;0;1;1;1;0;0
27/12/2022;FN_kgs-03257;Schaumburg;1;0;0;0;0;0;0;0;0
27/12/2022;FN_kgs-03351;Celle;2;0;0;0;0;0;0;0;0
27/12/2022;FN_kgs-03353;Harburg;5;1;0;0;0;1;0;0;0
27/12/2022;FN_kgs-03355;Lüneburg;10;7;1;0;1;6;1;1;0
27/12/2022;FN_kgs-03358;Soltau-Fallingbostel;2;2;1;0;0;1;0;1;0
27/12/2022;FN_kgs-03359;Stade;3;1;0;0;0;1;0;0;0
27/12/2022;FN_kgs-03360;Uelzen;4;0;0;0;0;0;0;0;0
27/12/2022;FN_kgs-03361;Verden;2;0;0;0;0;0;0;0;0
27/12/2022;FN_kgs-03451;Ammerland;2;2;1;0;1;1;0;1;0
27/12/2022;FN_kgs-03452;Aurich;1;1;0;0;0;1;0;0;0
27/12/2022;FN_kgs-03454;Emsland;2;1;1;0;0;1;0;0;0
27/12/2022;FN_kgs-03457;Leer;1;0;0;0;0;0;0;0;0
27/12/2022;FN_kgs-03458;Oldenburg;4;0;0;0;0;0;0;0;0
27/12/2022;FN_kgs-03459;Osnabrück;1;0;0;0;0;0;0;0;0
27/12/2022;FN_kgs-03460;Vechta;2;0;0;0;0;0;0;0;0
27/12/2022;FN_kgs-03461;Wesermarsch;2;0;0;0;0;0;0;0;0
27/12/2022;FN_kgs-03462;Wittmund;5;0;0;0;0;0;0;0;0
27/12/2022;FN_kgs-04011;Bremen, Stadt;13;6;1;0;3;6;2;0;0
27/12/2022;FN_kgs-04012;Bremerhaven, Stadt;2;0;0;0;0;0;0;0;0
27/12/2022;FN_kgs-05117;Mülheim an der Ruhr, Stadt;3;0;0;0;0;0;0;0;0
27/12/2022;FN_kgs-05124;Wuppertal, Stadt;1;0;0;0;0;0;0;0;0
27/12/2022;FN_kgs-05158;Mettmann;7;4;0;0;2;3;2;0;0
27/12/2022;FN_kgs-05162;Rhein-Kreis Neuss;3;1;1;0;0;1;0;0;0
27/12/2022;FN_kgs-05166;Viersen;8;2;0;0;0;2;0;0;0
27/12/2022;FN_kgs-05170;Wesel;2;1;0;0;0;0;1;0;0
27/12/2022;FN_kgs-05313;Aachen, Stadt;2;1;0;0;0;1;0;0;0
27/12/2022;FN_kgs-05314;Bonn, Stadt;3;0;0;0;0;0;0;0;0
27/12/2022;FN_kgs-05354;Aachen;2;1;0;0;0;0;1;0;0
27/12/2022;FN_kgs-05362;Rhein-Erft-Kreis;7;3;0;0;0;2;0;0;0
27/12/2022;FN_kgs-05366;Euskirchen;2;1;1;0;0;0;0;0;0
27/12/2022;FN_kgs-05378;Rheinisch-Bergischer Kreis;16;2;0;0;0;2;0;0;0
27/12/2022;FN_kgs-05382;Rhein-Sieg-Kreis;5;2;1;0;0;2;0;0;0
27/12/2022;FN_kgs-05512;Bottrop, Stadt;6;3;0;0;1;2;0;0;0
27/12/2022;FN_kgs-05515;Münster, Stadt;1;1;0;0;1;0;1;0;0
27/12/2022;FN_kgs-05554;Borken;1;0;0;0;0;0;0;0;0
27/12/2022;FN_kgs-05558;Coesfeld;1;0;0;0;0;0;0;0;0
27/12/2022;FN_kgs-05562;Recklinghausen;3;1;0;0;0;1;0;0;0
27/12/2022;FN_kgs-05566;Steinfurt;4;0;0;0;0;0;0;0;0
27/12/2022;FN_kgs-05570;Warendorf;2;1;0;0;1;1;1;0;0
27/12/2022;FN_kgs-05711;Bielefeld, Stadt;1;1;0;0;0;1;0;0;0
27/12/2022;FN_kgs-05754;Gütersloh;1;0;0;0;0;0;0;0;0
27/12/2022;FN_kgs-05758;Herford;1;0;0;0;0;0;0;0;0
27/12/2022;FN_kgs-05766;Lippe;4;1;0;0;0;1;0;0;0
27/12/2022;FN_kgs-05770;Minden-Lübbecke;3;1;0;0;0;1;0;0;0
27/12/2022;FN_kgs-05774;Paderborn;1;0;0;0;0;0;0;0;0
27/12/2022;FN_kgs-05916;Herne, Stadt;10;5;1;0;4;2;3;0;0
27/12/2022;FN_kgs-05954;Ennepe-Ruhr-Kreis;1;1;0;0;0;1;0;0;0
27/12/2022;FN_kgs-05958;Hochsauerlandkreis;1;1;0;0;0;1;0;0;0
27/12/2022;FN_kgs-05962;Märkischer Kreis;4;0;0;0;0;0;0;0;0
27/12/2022;FN_kgs-05970;Siegen-Wittgenstein;1;1;0;0;0;0;0;0;0
27/12/2022;FN_kgs-05974;Soest;1;0;0;0;0;0;0;0;0
27/12/2022;FN_kgs-05978;Unna;11;5;1;0;0;4;0;0;0
27/12/2022;FN_kgs-06412;Frankfurt am Main, Stadt;13;1;0;0;0;1;0;0;0
27/12/2022;FN_kgs-06432;Darmstadt-Dieburg;1;1;1;0;0;1;0;0;0
27/12/2022;FN_kgs-06434;Hochtaunuskreis;3;1;0;0;1;1;1;0;0
27/12/2022;FN_kgs-06435;Main-Kinzig-Kreis;1;1;0;0;0;1;0;0;0
27/12/2022;FN_kgs-06436;Main-Taunus-Kreis;7;3;0;0;2;3;2;0;0
27/12/2022;FN_kgs-06438;Offenbach;1;1;1;0;0;0;0;1;0
27/12/2022;FN_kgs-06439;Rheingau-Taunus-Kreis;1;1;0;0;0;1;0;1;0
27/12/2022;FN_kgs-06440;Wetteraukreis;4;2;0;0;0;2;0;0;0
27/12/2022;FN_kgs-06532;Lahn-Dill-Kreis;2;0;0;0;0;0;0;0;0
27/12/2022;FN_kgs-06533;Limburg-Weilburg;1;0;0;0;0;0;0;0;0
27/12/2022;FN_kgs-06534;Marburg-Biedenkopf;3;2;1;0;0;2;0;1;0
