Datum;anrufquelle;kreis;anz_anrufe;anrufe_m_sabio;Thema_test;Thema_reise;Thema_impf;Thema_quarantaene;Thema_bundesland;Thema_app;Thema_inzidenz
01/09/2022;FN_kgs-;;2;0;0;0;0;0;0;0;0
01/09/2022;FN_kgs-01002;Kiel, Landeshauptstadt;1;0;0;0;0;0;0;0;0
01/09/2022;FN_kgs-01053;Herzogtum Lauenburg;1;1;0;0;1;1;1;0;0
01/09/2022;FN_kgs-01054;Nordfriesland;1;0;0;0;0;0;0;0;0
01/09/2022;FN_kgs-01055;Ostholstein;2;1;0;0;1;0;0;0;0
01/09/2022;FN_kgs-01056;Pinneberg;1;0;0;0;0;0;0;0;0
01/09/2022;FN_kgs-01058;Rendsburg-Eckernförde;1;1;0;0;1;0;0;0;0
01/09/2022;FN_kgs-01059;Schleswig-Flensburg;2;2;1;0;2;0;2;0;0
01/09/2022;FN_kgs-01061;Steinburg;5;3;0;0;1;1;0;0;0
01/09/2022;FN_kgs-01062;Stormarn;3;2;0;0;2;0;0;0;0
01/09/2022;FN_kgs-02000;Hamburg, Freie und Hansestadt;35;23;4;1;12;14;8;0;0
01/09/2022;FN_kgs-03152;Göttingen;1;1;0;0;0;0;0;0;0
01/09/2022;FN_kgs-03157;Peine;1;0;0;0;0;0;0;0;0
01/09/2022;FN_kgs-03158;Wolfenbüttel;1;1;0;0;1;0;0;0;0
01/09/2022;FN_kgs-03241;Region Hannover;2;2;0;0;1;0;1;0;0
01/09/2022;FN_kgs-03251;Diepholz;1;0;0;0;0;0;0;0;0
01/09/2022;FN_kgs-03254;Hildesheim;1;0;0;0;0;0;0;0;0
01/09/2022;FN_kgs-03352;Cuxhaven;1;1;0;0;1;1;1;0;0
01/09/2022;FN_kgs-03353;Harburg;2;2;0;0;2;0;2;0;0
01/09/2022;FN_kgs-03355;Lüneburg;3;0;0;0;0;0;0;0;0
01/09/2022;FN_kgs-03358;Soltau-Fallingbostel;2;1;0;0;1;0;0;0;0
